iter	Passed	Remaining
190	12667	119974
191	12710	119693
192	12741	119291
193	12776	118941
194	12816	118630
195	12853	118305
196	12897	118039
197	12936	117734
198	12979	117469
199	13015	117143
200	13064	116926
201	13097	116581
202	13132	116249
203	13172	115966
204	13215	115719
205	13256	115445
206	13296	115170
207	13332	114868
208	13373	114598
209	13440	114567
210	13486	114343
211	13528	114101
212	13588	113999
213	13654	113960
214	13707	113807
215	13747	113546
216	13784	113258
217	13824	113004
218	13863	112741
219	13908	112534
220	13947	112272
221	13983	111995
222	14024	111752
223	14063	111501
224	14097	111211
225	14134	110947
226	14187	110809
227	14226	110569
228	14274	110394
229	14325	110241
230	14427	110487
231	14471	110279
232	14528	110182
233	14581	110044
234	14641	109965
235	14687	109779
236	14735	109613
237	14772	109363
238	14807	109104
239	14839	108823
240	14881	108616
241	14926	108430
242	14967	108222
243	15004	107983
244	15040	107739
245	15085	107558
246	15118	107295
247	15169	107161
248	15214	106992
249	15289	107027
250	15353	106988
251	15421	106972
252	15479	106887
253	15554	106925
254	15602	106772
255	15646	106588
256	15694	106440
257	15748	106331
258	15821	106351
259	15884	106304
260	15950	106277
261	16011	106211
262	16052	106020
263	16092	105818
264	16133	105630
265	16176	105449
266	16219	105277
267	16266	105127
268	16313	104977
269	16389	105016
270	16511	105344
271	16630	105650
272	16700	105649
273	16755	105547
274	16807	105431
275	16870	105379
276	16917	105227
277	16959	105050
278	17017	104973
279	17053	104755
280	17104	104635
281	17148	104470
282	17188	104284
283	17225	104080
284	17263	103882
285	17312	103756
286	17358	103609
287	17404	103458
288	17447	103297
289	17489	103126
290	17529	102949
291	17588	102878
292	17638	102763
293	17710	102770
294	17750	102591
295	17804	102497
296	17847	102338
297	17898	102228
298	17943	102080
299	17998	101990
300	18040	101828
301	18093	101728
302	18137	101579
303	18177	101413
304	18228	101303
305	18275	101173
306	18323	101048
307	18369	100914
308	18415	100779
309	18466	100672
310	18522	100594
311	18574	100493
312	18635	100442
313	18701	100415
314	18765	100378
315	18820	100295
316	18860	100135
317	18900	99969
318	18948	99852
319	18987	99684
320	19033	99555
321	19076	99411
322	19119	99265
323	19163	99131
324	19207	98994
325	19269	98948
326	19312	98808
327	19360	98691
328	19402	98543
329	19441	98386
330	19483	98242
331	19529	98115
332	19572	97980
333	19618	97855
334	19667	97751
335	19711	97621
336	19746	97445
337	19807	97397
338	19850	97262
339	19889	97109
340	19940	97014
341	19980	96862
342	20032	96774
343	20072	96628
344	20124	96537
345	20172	96430
346	20220	96324
347	20259	96176
348	20310	96082
349	20364	96003
350	20415	95910
351	20465	95817
352	20511	95700
353	20563	95614
354	20617	95537
355	20671	95462
356	20754	95515
357	20794	95376
358	20856	95335
359	20895	95189
360	20943	95087
361	21001	95031
362	21046	94913
363	21100	94837
364	21144	94713
365	21187	94592
366	21230	94466
367	21272	94339
368	21318	94230
369	21368	94138
370	21411	94013
371	21469	93956
372	21524	93888
373	21579	93818
374	21621	93693
375	21673	93610
376	21740	93593
377	21782	93467
378	21821	93331
379	21871	93240
380	21910	93104
381	21956	92998
382	22012	92934
383	22077	92907
384	22170	93001
385	22269	93115
386	22353	93170
387	22403	93076
388	22459	93013
389	22519	92965
390	22586	92943
391	22700	93117
392	22792	93201
393	22862	93192
394	22920	93132
395	22971	93045
396	23034	93008
397	23089	92940
398	23143	92866
399	23192	92770
400	23229	92628
401	23280	92543
402	23321	92416
403	23361	92290
404	23415	92216
405	23456	92093
406	23509	92014
407	23567	91959
408	23634	91937
409	23698	91903
410	23741	91788
411	23801	91741
412	23895	91821
413	23959	91785
414	23995	91646
415	24045	91557
416	24100	91488
417	24165	91458
418	24204	91330
419	24248	91220
420	24289	91099
421	24331	90985
422	24377	90880
423	24439	90839
424	24477	90711
425	24528	90630
426	24577	90538
427	24628	90458
428	24678	90371
429	24731	90299
430	24788	90238
431	24836	90145
432	24897	90104
433	24944	90007
434	24999	89942
435	25044	89838
436	25102	89781
437	25153	89702
438	25200	89606
439	25244	89501
440	25290	89406
441	25329	89282
442	25369	89167
443	25428	89113
444	25486	89059
445	25544	89005
446	25585	88891
447	25627	88781
448	25669	88670
449	25709	88556
450	25767	88501
451	25820	88429
452	25865	88331
453	25909	88229
454	25964	88164
455	26017	88093
456	26075	88040
457	26134	87988
458	26179	87890
459	26224	87795
460	26268	87695
461	26319	87616
462	26361	87511
463	26416	87448
464	26465	87364
465	26518	87293
466	26564	87201
467	26611	87111
468	26662	87036
469	26700	86920
470	26771	86909
471	26837	86880
472	26891	86814
473	26933	86708
474	26977	86612
475	27023	86522
476	27095	86511
477	27143	86429
478	27271	86595
479	27325	86529
480	27364	86418
481	27411	86329
482	27458	86239
483	27510	86167
484	27552	86065
485	27599	85980
486	27636	85860
487	27682	85770
488	27727	85677
489	27794	85650
490	27843	85570
491	27887	85476
492	27924	85360
493	27966	85259
494	28010	85162
495	28054	85068
496	28099	84978
497	28157	84926
498	28198	84821
499	28273	84820
500	28322	84741
501	28380	84688
502	28430	84613
503	28496	84584
504	28556	84537
505	28605	84460
506	28669	84424
507	28733	84390
508	28789	84333
509	28847	84280
510	28900	84214
511	28941	84110
512	28982	84009
513	29031	83932
514	29068	83819
515	29112	83726
516	29179	83701
517	29256	83701
518	29307	83630
519	29393	83658
520	29460	83630
521	29516	83573
522	29579	83535
523	29621	83438
524	29665	83345
525	29704	83240
526	29755	83169
527	29797	83071
528	29862	83040
529	29912	82966
530	29965	82898
531	30014	82822
532	30057	82728
533	30101	82638
534	30142	82540
535	30192	82465
536	30233	82368
537	30330	82421
538	30429	82481
539	30597	82726
540	30729	82873
541	30773	82781
542	30815	82685
543	30879	82648
544	30941	82604
545	30989	82525
546	31037	82446
547	31089	82376
548	31144	82314
549	31190	82228
550	31238	82150
551	31294	82090
552	31349	82029
553	31390	81933
554	31440	81858
555	31488	81780
556	31533	81692
