iter	Logloss
484	0.5571147643
485	0.5569279072
486	0.5566997258
487	0.5564452917
488	0.5562796064
489	0.5560097222
490	0.555740694
491	0.5554562195
492	0.5551559444
493	0.5549579451
494	0.5547394531
495	0.5544096457
496	0.5541150643
497	0.553885326
498	0.5537174395
499	0.5534702837
500	0.5532668086
501	0.5529798009
502	0.5526717289
503	0.5524361991
504	0.5522957362
505	0.5521372094
506	0.5519549437
507	0.551716682
508	0.5515311691
509	0.5513566385
510	0.5511399528
511	0.5509041304
512	0.5507090677
513	0.5504564376
514	0.5502032813
515	0.5500078233
516	0.5497372067
517	0.5494965915
518	0.5492082155
519	0.5489918189
520	0.5487763323
521	0.5485110943
522	0.5482431277
523	0.5480018307
524	0.5477886531
525	0.5475670158
526	0.5473773
527	0.5472078713
528	0.5469786832
529	0.5468031417
530	0.5465777825
531	0.5463913384
532	0.5461793105
533	0.5458873698
534	0.5456403193
535	0.5453956029
536	0.5450525571
537	0.5447575972
538	0.5444743382
539	0.5442455372
540	0.5439743818
541	0.5437722573
542	0.543627365
543	0.5434025093
544	0.5431714234
545	0.5429313172
546	0.5427083269
547	0.5424707292
548	0.5422932451
549	0.5420705358
550	0.5418848387
551	0.5415486305
552	0.5412686287
553	0.5410100407
554	0.5407343553
555	0.54052604
556	0.540264477
