iter	Logloss
0	0.6915877219
1	0.6901315005
2	0.6886016105
3	0.6869466409
4	0.6853664735
5	0.6841220562
6	0.6834079928
7	0.6822386071
8	0.6817753728
9	0.6805454985
10	0.6797206681
11	0.6789824248
12	0.6783815383
13	0.6778479884
14	0.6771126129
15	0.6764659754
16	0.6756880422
17	0.6749553547
18	0.6745137536
19	0.674013967
20	0.6734959756
21	0.6730006335
22	0.6723840099
23	0.671819219
24	0.6709659946
25	0.6703326272
26	0.6697000507
27	0.6692057701
28	0.6688887952
29	0.6683780975
30	0.6679696153
31	0.6675903806
32	0.6672862169
33	0.666960769
34	0.6665556078
35	0.6661721993
36	0.6656666632
37	0.6653709477
38	0.6650031126
39	0.6645200703
40	0.6642149647
41	0.6638993532
42	0.6634357864
43	0.6630933017
44	0.6628419368
45	0.6624762668
46	0.6622822941
47	0.6618438743
48	0.6616284643
49	0.6612991497
50	0.6609419388
51	0.6606504791
52	0.6602431368
53	0.6599662185
54	0.6595291088
55	0.659071926
56	0.6588506713
57	0.6584235216
58	0.6579898396
59	0.6577064324
60	0.6574127715
61	0.657054615
62	0.6566735068
63	0.6562994135
64	0.6559362452
65	0.6556419913
66	0.6553358022
67	0.6549710275
68	0.6545913953
69	0.6541702163
70	0.6539001272
71	0.6535977807
72	0.653321065
73	0.6531128894
74	0.6527456508
75	0.6525304222
76	0.6521585277
77	0.6518840621
78	0.6517103707
79	0.6512707998
80	0.6509560253
81	0.6507586366
82	0.65050142
83	0.6501817852
84	0.6499240896
85	0.6496894402
86	0.6491864069
87	0.6488028429
88	0.6485149783
89	0.64819575
90	0.6479549959
91	0.6476593535
92	0.6474012374
93	0.6471532383
94	0.646961026
95	0.6466353155
96	0.6462954775
97	0.6460314005
98	0.6456930976
99	0.6453841889
100	0.6451639089
101	0.6449796913
102	0.644735354
103	0.6445215605
104	0.6443261514
105	0.6441588828
106	0.6439885767
107	0.6437616138
108	0.6435219726
109	0.643418208
110	0.6430857871
111	0.642853706
112	0.642572504
113	0.6423735753
114	0.6420838018
115	0.6418097616
116	0.6416694929
117	0.6413583459
118	0.6410098684
119	0.6408125339
120	0.6405317643
121	0.6402937418
122	0.6399929585
123	0.6397168549
124	0.6394751097
125	0.6391540472
126	0.6389293511
127	0.6386151729
128	0.6383999431
129	0.6382628732
130	0.6380187539
131	0.6378047915
132	0.6375498467
133	0.6372865202
134	0.6370405826
135	0.6369348688
136	0.6367048676
137	0.6366351436
138	0.6364415624
139	0.6362140963
140	0.6360191683
141	0.6358215147
142	0.6357060513
143	0.6355749993
144	0.6353751445
145	0.6351244788
146	0.6349544206
147	0.6346920932
148	0.6344315334
149	0.634197357
150	0.6340226824
151	0.6337270018
152	0.6335514786
153	0.6333641522
154	0.6330569187
155	0.6328956181
156	0.6326483784
157	0.6324228276
158	0.6322645581
159	0.6320052965
160	0.6317813298
161	0.6315590679
162	0.6313722885
163	0.631197748
164	0.6310017875
165	0.6308799436
166	0.6306745034
167	0.6304152491
168	0.6301521986
169	0.6297945903
170	0.6296156707
171	0.6293589964
172	0.6290753458
173	0.6288691106
174	0.6287772843
175	0.6286169466
176	0.628416674
177	0.6282242617
178	0.6280105898
179	0.6277266948
180	0.6274255831
181	0.6271312104
182	0.6269167111
183	0.6266145044
184	0.6263629472
185	0.6261734913
186	0.6259632877
187	0.6258305008
188	0.6256179209
189	0.6253521243
190	0.6251877248
191	0.6250617813
192	0.6248469159
193	0.6245493131
194	0.6244862619
195	0.6242849908
196	0.6241002517
197	0.623903412
198	0.6236355298
199	0.6234319117
200	0.6231700678
201	0.6228965538
202	0.6227019796
203	0.6224258583
204	0.6222908595
205	0.6221248108
206	0.6220362915
207	0.6218264053
208	0.6216991433
209	0.6215888834
210	0.6213432184
211	0.6212103967
212	0.6210824759
213	0.6208640566
214	0.6206315136
215	0.6204556478
216	0.6202879497
217	0.6200516343
218	0.619854155
219	0.6196884285
220	0.6195375233
221	0.6192450085
222	0.6190226645
223	0.6188278132
224	0.6186659633
225	0.6183997238
226	0.6180698473
227	0.6178436678
228	0.6176072072
229	0.6174471798
230	0.617161532
231	0.616941511
232	0.6167858275
233	0.6166199869
234	0.6164337065
235	0.6162320277
236	0.6160675999
237	0.6157150951
238	0.615517548
239	0.6153665256
240	0.6151352814
241	0.6149331064
242	0.6147538509
243	0.6146165034
244	0.6144878852
245	0.6143404131
246	0.6141918514
247	0.6139592415
248	0.6137276671
249	0.613513198
250	0.6132482294
251	0.6130899926
252	0.6128815739
253	0.6125965599
254	0.6123133978
255	0.6120522072
256	0.6118600126
257	0.6115100033
258	0.6112320558
259	0.6110531302
260	0.6108157557
261	0.6105871822
262	0.6103891501
263	0.610164824
264	0.6100237474
265	0.6098451214
266	0.6096740483
267	0.6094436052
268	0.6092033117
269	0.6089157704
270	0.608768039
271	0.6085811183
272	0.6082990814
273	0.6080742491
274	0.6078399495
275	0.6076345744
276	0.6074215286
277	0.6073029477
278	0.6070469233
279	0.6069093632
280	0.6065700773
281	0.6062894086
282	0.6060520972
283	0.6058731613
284	0.6056626616
285	0.605471797
286	0.6053190228
287	0.6050347896
288	0.6048008206
289	0.6046895725
290	0.6044656438
291	0.6041654862
292	0.6038302391
293	0.6036395019
294	0.6033325408
295	0.6031383217
296	0.6030179659
297	0.6027355921
298	0.6024251873
299	0.602268121
300	0.6019984777
301	0.6017276909
302	0.6015677701
303	0.6012746356
304	0.6010885425
305	0.6008160395
306	0.6006559617
307	0.6003573358
308	0.6001610936
309	0.6000546338
310	0.5997954687
311	0.5996906118
312	0.5994960936
313	0.5993048888
314	0.5991400233
315	0.5990019427
316	0.5987437004
317	0.5985242503
318	0.5982484087
319	0.5980370488
320	0.597815546
321	0.5975890617
322	0.5973563613
323	0.5971053477
324	0.5968493706
325	0.5966559525
326	0.5963537612
327	0.596192496
328	0.595987107
329	0.5956987691
330	0.5954448572
331	0.5952084044
332	0.5948540706
333	0.5946546419
334	0.5944247768
335	0.5940529287
336	0.5938085615
337	0.5935289284
338	0.5931080113
339	0.5928923795
340	0.5927022046
341	0.5925149703
342	0.5922936995
343	0.5920986151
344	0.5916765541
345	0.5913331333
346	0.5910081967
347	0.5907707476
348	0.5905748357
349	0.5903724624
350	0.5900720457
351	0.5898920103
352	0.5896518953
353	0.5894788956
354	0.5892201316
355	0.5888949423
356	0.5885502284
357	0.588322209
358	0.5880753546
359	0.5878563548
360	0.5875235238
361	0.5872595984
362	0.5870113661
363	0.5867582637
364	0.5865844657
365	0.5862985437
366	0.5860382682
367	0.5857437548
368	0.5855061365
369	0.585211571
370	0.5850608967
371	0.5848370207
372	0.584683625
373	0.5843973441
374	0.5841098064
375	0.5838626873
376	0.5835860026
377	0.5832995923
378	0.5830604671
379	0.5827727943
380	0.5824772354
381	0.5821161242
382	0.5818446741
383	0.5815246848
384	0.5813085408
385	0.5810370343
386	0.5808478301
387	0.5805770175
388	0.5803581946
389	0.5801079363
390	0.5798026408
391	0.5795216405
392	0.5793089733
393	0.5790574156
394	0.5787733495
395	0.5784907548
396	0.5782521176
397	0.5778750056
398	0.5776077174
399	0.5773086196
400	0.5771253401
401	0.5768233001
402	0.576604164
403	0.5763220389
404	0.5760851693
405	0.5758476253
406	0.5755610423
407	0.5753822967
408	0.575102883
409	0.5749122234
410	0.5746658087
411	0.5744162487
412	0.5741688708
413	0.5738809895
414	0.5736090734
415	0.5733707613
416	0.5732297721
417	0.5730460025
418	0.5728344238
419	0.5725387435
420	0.5723479103
421	0.5721473939
422	0.571915598
423	0.5715674323
424	0.5713030065
425	0.5711341652
426	0.5709173027
427	0.5706885903
428	0.5704558209
429	0.5702638425
430	0.5699751272
431	0.5698369088
432	0.5696645391
433	0.5695368746
434	0.5693059858
435	0.5690315389
436	0.5686606268
437	0.5684112705
438	0.5682275912
439	0.5680216978
440	0.5678425014
441	0.5675794237
442	0.5673260443
443	0.5671187913
444	0.5669303615
445	0.5667221771
446	0.5663780054
447	0.5661392857
448	0.5660485433
449	0.5658610436
450	0.5656031547
451	0.5653905856
452	0.5650590407
453	0.5648622918
454	0.5647033413
455	0.5643657741
456	0.5641625504
457	0.5638479892
458	0.5636406974
459	0.5633133534
460	0.5631446217
461	0.5630082579
462	0.5628387553
463	0.5625871073
464	0.5623594986
465	0.5620597726
466	0.5617363614
467	0.5614398151
468	0.5611768464
469	0.5608241469
470	0.560654526
471	0.560378046
472	0.5601204142
473	0.5598192742
474	0.559566132
475	0.5592613813
476	0.5589250976
477	0.5586747678
478	0.558442642
479	0.5581558421
480	0.557985955
481	0.557782652
482	0.5576292225
483	0.5573904161
